"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/30/2022","AQS","550270001","1","0.4","ppm","5","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"01/31/2022","AQS","550270001","1","0.4","ppm","5","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/01/2022","AQS","550270001","1","0.4","ppm","5","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/02/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/03/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/04/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/05/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/06/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/07/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/08/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/09/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/10/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/11/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/12/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/13/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/14/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","16","67.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/15/2022","AQS","550270001","1","0.5","ppm","6","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/16/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/17/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/18/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/19/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/20/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/21/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/22/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/23/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
